"Scaffold.x","Scaffold.y","PercentOfTotal","clusterID.Scaffold","Cluster.Size","pop","FSC.A","FSC.H","FSC.W","SSC.A","SSC.H","SSC.W","CD4","Live","CD11b","CD44","CD5.Ly6G","IA.IE","V.BV610.A","CD317","CD62L","CD8a.SiglecF","F4.80","G.PE.A","G.PE.TR.A","CD161","Ly6C","CD25","CD11c","CD19","Time","CD11b.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD11c.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD161.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD19.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD25.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD317.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD4.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD44.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD5.Ly6G.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD62L.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD8a.SiglecF.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","F4.80.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","FSC.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","FSC.H.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","FSC.W.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","G.PE.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","G.PE.TR.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","IA.IE.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","Live.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","Ly6C.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","popsize.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","SSC.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","SSC.H.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","SSC.W.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","Time.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","V.BV610.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","popID.Scaffold.28.fgcol"
"-599.522095"," 378.553908","1.423590846","  1"," 9220","B2Bcells","39140.01","35750.0","71735.45"," 47787.54"," 46017.5","67792.53","0.6044761","1.1776223","1.0316705","0.49849340","1.0628566","3.0585349","0.9948819","1.2086983","3.3450703","0.9378359","1.1208442","0.8740383","0.9794313","0.9515730","2.1819175","1.0276103","2.23185679","2.9643304"," 8907.20","1.0316705","2.23185679","0.9515730","2.9643304","1.0276103","1.2086983","0.6044761","0.49849340","1.0628566","3.3450703","0.9378359","1.1208442","39140.01","35750.0","71735.45","0.8740383","0.9794313","3.0585349","1.1776223","2.1819175"," 9220"," 47787.54"," 46017.5","67792.53"," 8907.20","0.9948819","1"
" -26.822483","-455.076896","0.622396388","  2"," 4031","CD8Naives","42822.78","39242.0","71499.27"," 47224.45"," 45066.0","68599.17","0.6975838","1.3627687","1.0179180","1.37937596","2.8677303","1.2179149","0.9669729","1.2997504","3.2733282","2.5125566","1.0523733","0.8654316","0.9873221","0.9517844","2.0176719","0.9734572","2.22198931","0.8051642"," 9383.60","1.0179180","2.22198931","0.9517844","0.8051642","0.9734572","1.2997504","0.6975838","1.37937596","2.8677303","3.2733282","2.5125566","1.0523733","42822.78","39242.0","71499.27","0.8654316","0.9873221","1.2179149","1.3627687","2.0176719"," 4031"," 47224.45"," 45066.0","68599.17"," 9383.60","0.9669729","1"
"-595.123349"," 437.777372","0.281475717","  3"," 1823","B2Bcells","52952.64","40287.0","83977.27"," 85387.16"," 70340.0","81477.41","0.4459284","1.1662548","1.0498523","0.31039664","1.1808450","3.5430238","1.0215410","1.2096243","3.4300259","1.0329203","1.2029151","0.9057161","0.9454450","1.3280611","2.9282188","1.1647296","2.11604313","3.2818708"," 7661.80","1.0498523","2.11604313","1.3280611","3.2818708","1.1647296","1.2096243","0.4459284","0.31039664","1.1808450","3.4300259","1.0329203","1.2029151","52952.64","40287.0","83977.27","0.9057161","0.9454450","3.5430238","1.1662548","2.9282188"," 1823"," 85387.16"," 70340.0","81477.41"," 7661.80","1.0215410","1"
"-380.344098"," 568.032743","0.708552971","  4"," 4589","B2Bcells","47069.88","40529.0","75860.40"," 75391.31"," 67849.0","72099.70","0.8182384","1.2749893","1.1631905","2.21906541","1.5098505","3.3867567","1.0200144","1.1611667","2.9646519","0.9917056","1.1919115","0.8944433","0.9624714","1.0144304","2.7636341","1.1617391","1.10665366","3.2477565"," 8265.10","1.1631905","1.10665366","1.0144304","3.2477565","1.1617391","1.1611667","0.8182384","2.21906541","1.5098505","2.9646519","0.9917056","1.1919115","47069.88","40529.0","75860.40","0.8944433","0.9624714","3.3867567","1.2749893","2.7636341"," 4589"," 75391.31"," 67849.0","72099.70"," 8265.10","1.0200144","1"
"-556.147557"," 613.431385","1.357506585","  5"," 8792","B2Bcells","39551.46","35886.0","72472.11"," 46764.19"," 45096.0","67880.28","0.6339426","1.1890780","1.0329739","1.03655466","1.0643796","3.1661241","1.0108032","1.1206815","2.7553854","0.9512257","1.0784072","0.8792638","0.9840629","0.9891127","2.1447954","1.0904610","1.08129514","2.9095980"," 9398.35","1.0329739","1.08129514","0.9891127","2.9095980","1.0904610","1.1206815","0.6339426","1.03655466","1.0643796","2.7553854","0.9512257","1.0784072","39551.46","35886.0","72472.11","0.8792638","0.9840629","3.1661241","1.1890780","2.1447954"," 8792"," 46764.19"," 45096.0","67880.28"," 9398.35","1.0108032","1"
"-308.736820"," 608.645625","1.114168280","  6"," 7216","B2Bcells","39667.29","36044.0","72400.25"," 48821.56"," 46921.0","68068.22","0.8105249","1.2201347","1.0664175","2.02085194","1.2292819","2.9567449","1.0004323","1.1557210","3.0764300","0.9694144","1.1247247","0.8773769","0.9782576","1.0238656","2.2442166","1.0543618","1.67093270","2.9304502"," 8893.55","1.0664175","1.67093270","1.0238656","2.9304502","1.0543618","1.1557210","0.8105249","2.02085194","1.2292819","3.0764300","0.9694144","1.1247247","39667.29","36044.0","72400.25","0.8773769","0.9782576","2.9567449","1.2201347","2.2442166"," 7216"," 48821.56"," 46921.0","68068.22"," 8893.55","1.0004323","1"
" 211.351126","  66.447676","0.869285950","  7"," 5630","RPMac","41888.73","38380.5","72121.42"," 42534.02"," 41438.5","67314.61","0.7203858","1.1718425","1.0145047","2.04532053","0.9402676","1.0625105","1.0056498","1.1399915","1.0214167","0.9473209","1.1419484","0.8736941","0.9930563","0.9967439","1.2203891","0.9783970","1.29344457","1.0148097"," 9114.50","1.0145047","1.29344457","0.9967439","1.0148097","0.9783970","1.1399915","0.7203858","2.04532053","0.9402676","1.0214167","0.9473209","1.1419484","41888.73","38380.5","72121.42","0.8736941","0.9930563","1.0625105","1.1718425","1.2203891"," 5630"," 42534.02"," 41438.5","67314.61"," 9114.50","1.0056498","1"
"-141.547615","-360.539456","0.505513712","  8"," 3274","TDN","40866.54","37354.0","71833.45"," 43691.71"," 42010.5","68033.04","0.7349510","1.3340326","1.0203838","1.38871392","2.9157812","1.2267120","0.9679548","1.3110172","3.3105617","0.9946861","1.0692500","0.8663008","0.9838481","0.9532774","2.0044145","0.9821925","2.11362357","1.3528169"," 9656.15","1.0203838","2.11362357","0.9532774","1.3528169","0.9821925","1.3110172","0.7349510","1.38871392","2.9157812","3.3105617","0.9946861","1.0692500","40866.54","37354.0","71833.45","0.8663008","0.9838481","1.2267120","1.3340326","2.0044145"," 3274"," 43691.71"," 42010.5","68033.04"," 9656.15","0.9679548","1"
"-284.178438"," 561.229479","0.381682925","  9"," 2472","B1 B cells","51324.00","42923.5","77188.86"," 84400.19"," 74416.0","73282.22","0.9137077","1.2658178","1.2487601","2.56882494","1.5803251","3.3719104","1.0130662","1.2325568","3.2260757","1.0323450","1.2830405","0.8903845","0.9599506","0.9974271","2.7441909","1.1112483","2.17795630","3.2322301"," 8513.60","1.2487601","2.17795630","0.9974271","3.2322301","1.1112483","1.2325568","0.9137077","2.56882494","1.5803251","3.2260757","1.0323450","1.2830405","51324.00","42923.5","77188.86","0.8903845","0.9599506","3.3719104","1.2658178","2.7441909"," 2472"," 84400.19"," 74416.0","73282.22"," 8513.60","1.0130662","1"
"-242.192965","-276.481648","1.768371579"," 10","11453","CD4Naives","41634.06","37967.0","71862.62"," 46120.59"," 43862.0","68769.27","2.1568419","1.4447698","1.0775454","1.98572106","3.4507823","1.1290912","0.9348866","1.4669257","3.2395084","0.9503855","1.0674519","0.8620421","0.9862902","0.9423241","2.1320072","0.9540321","2.19250813","1.0653982"," 8935.00","1.0775454","2.19250813","0.9423241","1.0653982","0.9540321","1.4669257","2.1568419","1.98572106","3.4507823","3.2395084","0.9503855","1.0674519","41634.06","37967.0","71862.62","0.8620421","0.9862902","1.1290912","1.4447698","2.1320072","11453"," 46120.59"," 43862.0","68769.27"," 8935.00","0.9348866","1"
